Event,n
U02462,2
U02463,2
U02464,2
U02465,2
U02466,3
U02467,4
U02468,2
U02469,6
U02470,3
U02471,3
U02472,2
U02473,5
U02474,6
U02475,2
U02476,2
U02477,2
U02478,3
U02479,4
U02480,5
U02481,1
U02482,6
U02483,5
U02484,4
U02485,6
U02486,6
U02487,4
U02488,4
U02489,6
U02490,8
U02491,4
U02492,6
U02493,5
U02495,1
U02496,1
U02497,1
U02498,1
U02499,1
U02500,1
U02502,2
U02503,2
U02504,2
U02505,2
U02506,2
U02507,2
U02508,3
U02509,3
U02510,3
U02511,3
U02512,4
U02513,5
U02514,3
U02515,3
U02517,1
U02518,2
U02519,2
U02520,2
U02521,1
U02522,2
U02523,2
U02524,6
U02525,1
U02526,1
U02527,2
U02528,7
U02529,21
U02530,1
U02531,3
U02532,2
U02533,2
U02534,2
U02535,1
U02536,2
U02537,2
U02538,1
U02539,1
U02540,1
U02541,5
U02542,1
U02543,3
U02545,2
U02547,6
U02548,3
U02549,1
U02550,4
U02551,1
U02553,3
U02554,1
U02555,6
U02556,2
U02561,5
U02562,4
U02563,6
U02564,6
U02565,6
U02566,6
U02567,6
U02568,5
U02569,5
U02571,1
U02572,6
U02573,6
U02574,1
U02575,1
U02576,4
U02577,4
U02579,5
U02580,6
U02581,6
U02583,6
U02584,6
U02585,5
U02586,6
U02587,1
U02588,6
U02589,3
U02590,4
U02591,2
U02592,3
U02593,2
U02594,2
U02595,2
U02596,2
U02597,5
U02598,2
U02599,5
U02600,6
U02602,1
U02603,6
U02604,2
U02605,4
U02606,6
U02607,3
U02608,6
U02609,4
U02610,3
